,Unnamed: 0,Criminal_ID,Age,Height,Hair_Color,NID
93,93,94,50,181,Black,23
94,94,95,23,177,Green,9
95,95,96,24,178,Brown,14
96,96,97,53,176,Green,19
97,97,98,44,171,Green,10
98,98,99,42,171,Green,18
99,99,100,28,168,Green,23
100,100,101,54,169,Black,23
101,101,102,21,170,Green,13
102,102,103,41,174,Green,18
103,103,104,32,177,Green,10
104,104,105,24,168,Brown,15
105,105,106,40,179,Black,18
106,106,107,21,169,Green,14
107,107,108,37,184,Black,5
108,108,109,29,180,Brown,11
109,109,110,19,187,Brown,5
110,110,111,47,170,Green,5
111,111,112,21,175,Black,23
112,112,113,33,178,Brown,23
113,113,114,26,173,Black,20
114,114,115,52,165,Brown,7
115,115,116,29,166,Green,20
116,116,117,19,182,Black,21
117,117,118,29,177,Green,15
118,118,119,26,179,Black,17
119,119,120,27,170,Black,11
120,120,121,44,180,Green,23
121,121,122,21,181,Black,6
122,122,123,38,177,Black,13
123,123,124,49,170,Black,14
124,124,125,45,178,Black,7
125,125,126,46,187,Green,23
126,126,127,20,185,Black,3
127,127,128,20,165,Black,23
128,128,129,48,180,Black,16
129,129,130,20,169,Green,19
130,130,131,49,187,Brown,15
131,131,132,36,167,Brown,13
132,132,133,46,185,Black,21
133,133,134,26,182,Brown,23
134,134,135,26,181,Black,6
135,135,136,26,184,Black,11
136,136,137,23,182,Brown,11
137,137,138,46,174,Black,3
138,138,139,42,182,Brown,12
139,139,140,41,177,Black,18
140,140,141,33,186,Green,21
141,141,142,41,176,Brown,10
142,142,143,33,174,Brown,22
143,143,144,33,173,Black,4
144,144,145,37,168,Brown,17
145,145,146,46,177,Green,23
146,146,147,29,185,Black,12
147,147,148,24,186,Green,16
148,148,149,39,179,Black,21
149,149,150,45,172,Green,9
150,150,151,26,184,Green,8
151,151,152,53,176,Brown,8
152,152,153,48,178,Brown,5
153,153,154,27,173,Black,22
154,154,155,35,173,Brown,8
155,155,156,32,184,Black,10
156,156,157,30,184,Brown,16
157,157,158,43,170,Black,23
158,158,159,41,174,Brown,16
159,159,160,25,185,Green,15
160,160,161,45,177,Green,19
161,161,162,35,168,Brown,15
162,162,163,50,177,Brown,18
163,163,164,43,186,Green,21
164,164,165,45,165,Brown,18
165,165,166,41,175,Green,17
166,166,167,35,165,Black,15
167,167,168,21,172,Brown,6
168,168,169,42,165,Green,6
169,169,170,34,167,Green,7
170,170,171,43,182,Green,17
171,171,172,47,173,Green,5
172,172,173,19,187,Brown,13
173,173,174,37,178,Black,13
174,174,175,41,172,Green,18
175,175,176,38,184,Brown,15
176,176,177,53,171,Green,22
177,177,178,48,187,Brown,20
178,178,179,52,166,Black,22
179,179,180,39,174,Brown,6
180,180,181,42,180,Black,14
181,181,182,39,178,Green,21
182,182,183,18,184,Black,21
183,183,184,27,180,Brown,23
184,184,185,45,182,Green,23
185,185,186,51,185,Brown,7
186,186,187,38,177,Black,9
187,187,188,24,183,Green,23
188,188,189,35,178,Black,7
189,189,190,31,184,Black,18
190,190,191,34,184,Black,5
191,191,192,52,166,Green,8
192,192,193,48,168,Brown,11
193,193,194,50,178,Brown,15
194,194,195,25,177,Black,18
195,195,196,45,180,Brown,22
196,196,197,38,168,Brown,16
197,197,198,41,178,Brown,18
198,198,199,48,172,Green,18
199,199,200,42,187,Black,6
200,200,201,20,174,Green,4
201,201,202,22,182,Green,15
202,202,203,23,186,Brown,23
203,203,204,30,170,Green,12
204,204,205,25,166,Black,16
205,205,206,19,176,Green,16
206,206,207,25,174,Black,17
207,207,208,20,174,Brown,15
208,208,209,45,182,Green,14
209,209,210,53,165,Black,11
210,210,211,26,178,Green,8
211,211,212,34,170,Green,20
212,212,213,44,174,Brown,23
213,213,214,25,174,Brown,23
214,214,215,41,168,Brown,12
215,215,216,28,186,Black,9
216,216,217,52,165,Black,20
217,217,218,41,176,Brown,7
218,218,219,45,186,Black,9
219,219,220,40,168,Brown,5
220,220,221,23,184,Green,23
221,221,222,25,177,Green,23
222,222,223,24,181,Brown,13
223,223,224,24,179,Brown,17
224,224,225,54,170,Brown,11
225,225,226,38,167,Green,8
226,226,227,27,169,Brown,16
227,227,228,18,171,Black,13
228,228,229,40,187,Brown,15
229,229,230,46,170,Green,23
230,230,231,27,170,Brown,11
231,231,232,51,176,Black,13
232,232,233,45,181,Black,5
233,233,234,22,166,Brown,3
234,234,235,48,167,Brown,9
235,235,236,22,184,Green,7
236,236,237,54,171,Green,8
237,237,238,36,176,Brown,9
238,238,239,39,167,Green,6
239,239,240,26,166,Green,8
240,240,241,35,178,Green,10
241,241,242,33,166,Black,21
242,242,243,24,165,Brown,23
243,243,244,32,183,Brown,23
244,244,245,54,177,Black,4
245,245,246,39,184,Green,14
246,246,247,51,175,Green,22
247,247,248,31,182,Black,20
248,248,249,51,185,Green,21
249,249,250,45,176,Green,5
250,250,251,21,184,Black,10
251,251,252,45,179,Green,17
252,252,253,18,185,Black,22
253,253,254,30,180,Green,23
254,254,255,26,175,Black,6
255,255,256,50,167,Green,14
256,256,257,24,172,Green,5
257,257,258,51,178,Black,23
258,258,259,29,179,Black,3
259,259,260,40,165,Brown,8
260,260,261,36,182,Black,19
261,261,262,33,180,Black,23
262,262,263,41,185,Brown,21
263,263,264,33,175,Brown,23
264,264,265,46,168,Green,18
265,265,266,48,185,Brown,23
266,266,267,45,183,Green,3
267,267,268,38,168,Green,14
268,268,269,39,186,Green,4
269,269,270,43,168,Brown,22
270,270,271,47,177,Green,13
271,271,272,35,177,Black,10
272,272,273,21,166,Brown,4
273,273,274,26,183,Brown,23
274,274,275,33,170,Black,10
275,275,276,43,182,Green,11
276,276,277,41,179,Black,13
277,277,278,31,167,Black,7
278,278,279,20,165,Brown,20
279,279,280,33,166,Green,11
280,280,281,45,185,Green,16
281,281,282,34,179,Brown,10
282,282,283,19,165,Green,11
283,283,284,25,169,Green,15
284,284,285,34,172,Brown,8
285,285,286,38,176,Brown,8
286,286,287,32,183,Black,22
287,287,288,30,180,Brown,12
288,288,289,24,185,Brown,8
289,289,290,19,171,Brown,13
290,290,291,46,177,Black,7
291,291,292,28,175,Brown,9
292,292,293,47,166,Brown,3
293,293,294,19,183,Green,7
294,294,295,40,171,Green,19
295,295,296,37,186,Black,23
296,296,297,40,172,Black,12
297,297,298,21,183,Brown,14
298,298,299,38,183,Black,16
299,299,300,45,187,Black,19
300,300,301,26,187,Black,6
301,301,302,50,173,Green,23
302,302,303,28,186,Brown,6
303,303,304,53,179,Green,3
304,304,305,47,176,Black,5
305,305,306,45,186,Black,4
306,306,307,28,184,Green,10
307,307,308,42,175,Green,15
308,308,309,30,183,Brown,6
309,309,310,28,183,Brown,12
310,310,311,28,185,Black,10
311,311,312,49,165,Green,17
312,312,313,46,179,Brown,23
313,313,314,50,181,Green,8
314,314,315,41,167,Green,17
315,315,316,25,187,Brown,15
316,316,317,18,186,Brown,19
317,317,318,41,166,Black,3
318,318,319,23,166,Green,15
319,319,320,40,167,Black,13
320,320,321,42,178,Green,22
321,321,322,18,172,Black,20
322,322,323,24,183,Green,20
323,323,324,45,169,Black,4
324,324,325,43,174,Green,23
325,325,326,25,185,Black,11
326,326,327,42,167,Brown,12
327,327,328,28,184,Black,22
328,328,329,40,187,Green,23
329,329,330,41,171,Black,6
330,330,331,30,178,Black,16
331,331,332,38,172,Brown,15
332,332,333,43,174,Black,3
333,333,334,41,166,Green,23
334,334,335,21,179,Black,3
335,335,336,27,183,Brown,8
336,336,337,41,172,Green,9
337,337,338,45,186,Green,8
338,338,339,20,176,Black,16
339,339,340,22,169,Black,4
340,340,341,25,172,Brown,19
341,341,342,30,183,Black,16
342,342,343,22,182,Green,16
343,343,344,30,176,Brown,22
344,344,345,37,168,Black,16
345,345,346,30,168,Black,23
346,346,347,20,169,Black,18
347,347,348,38,173,Black,23
348,348,349,19,185,Green,6
349,349,350,31,187,Green,11
350,350,351,21,186,Green,10
351,351,352,40,170,Black,19
352,352,353,18,181,Brown,15
353,353,354,53,171,Brown,23
354,354,355,38,171,Brown,4
355,355,356,32,174,Green,13
356,356,357,23,168,Black,14
357,357,358,45,179,Black,6
358,358,359,27,176,Brown,3
359,359,360,45,178,Black,17
360,360,361,49,177,Brown,9
361,361,362,38,187,Brown,22
362,362,363,19,178,Black,3
363,363,364,45,182,Brown,23
364,364,365,19,182,Black,4
365,365,366,46,180,Black,14
366,366,367,30,166,Black,3
367,367,368,43,179,Brown,13
368,368,369,20,186,Brown,15
369,369,370,29,175,Brown,4
370,370,371,40,171,Green,13
371,371,372,43,183,Brown,13
372,372,373,18,182,Black,3
373,373,374,38,168,Green,18
374,374,375,29,167,Brown,23
375,375,376,40,179,Black,3
376,376,377,49,186,Black,23
377,377,378,40,182,Black,19
378,378,379,42,171,Green,11
379,379,380,32,179,Green,14
380,380,381,40,166,Black,9
381,381,382,54,165,Green,18
382,382,383,42,176,Green,4
383,383,384,52,174,Green,20
384,384,385,54,181,Black,4
385,385,386,35,177,Brown,16
386,386,387,32,183,Black,19
387,387,388,28,187,Black,9
388,388,389,27,171,Black,19
389,389,390,35,174,Green,5
390,390,391,35,184,Green,15
391,391,392,46,167,Brown,8
392,392,393,36,187,Brown,4
393,393,394,51,176,Green,17
394,394,395,29,170,Green,23
395,395,396,35,187,Brown,23
396,396,397,28,183,Green,8
397,397,398,28,173,Black,6
398,398,399,49,168,Black,7
399,399,400,45,168,Green,11
400,400,401,25,168,Green,15
401,401,402,28,169,Brown,12
402,402,403,51,173,Green,21
403,403,404,46,165,Green,9
404,404,405,30,179,Black,3
405,405,406,41,176,Green,10
406,406,407,47,167,Black,3
407,407,408,18,173,Brown,18
408,408,409,24,170,Black,9
409,409,410,18,183,Brown,5
410,410,411,21,182,Green,3
411,411,412,23,167,Brown,21
412,412,413,30,169,Black,11
413,413,414,36,186,Brown,23
414,414,415,49,187,Green,20
415,415,416,22,167,Black,19
416,416,417,48,166,Brown,4
417,417,418,52,174,Green,15
418,418,419,18,178,Brown,14
419,419,420,29,173,Black,11
420,420,421,25,169,Black,16
421,421,422,26,171,Black,13
422,422,423,28,165,Black,14
423,423,424,40,173,Green,23
424,424,425,23,174,Brown,5
425,425,426,35,182,Black,12
426,426,427,54,177,Black,6
427,427,428,28,167,Black,12
428,428,429,28,174,Brown,6
429,429,430,39,168,Black,14
430,430,431,39,186,Black,7
431,431,432,46,175,Green,11
432,432,433,54,171,Green,20
433,433,434,49,171,Black,7
434,434,435,24,166,Black,16
435,435,436,42,166,Black,13
436,436,437,20,182,Green,4
437,437,438,33,171,Black,22
438,438,439,31,170,Brown,23
439,439,440,50,167,Brown,11
440,440,441,45,173,Green,22
441,441,442,40,169,Green,4
442,442,443,37,177,Brown,3
443,443,444,28,186,Black,8
444,444,445,51,185,Black,19
445,445,446,38,174,Green,6
446,446,447,50,183,Green,3
447,447,448,22,182,Black,9
448,448,449,47,177,Green,8
449,449,450,19,181,Green,11
450,450,451,40,170,Black,14
451,451,452,22,165,Green,17
452,452,453,49,174,Black,22
453,453,454,36,180,Green,19
454,454,455,19,165,Black,7
455,455,456,38,172,Green,10
456,456,457,24,166,Brown,5
457,457,458,41,165,Brown,23
458,458,459,29,175,Black,5
459,459,460,40,181,Green,5
460,460,461,37,184,Green,5
461,461,462,41,181,Green,6
462,462,463,51,183,Green,17
463,463,464,35,178,Black,13
464,464,465,52,167,Brown,11
465,465,466,30,181,Black,5
466,466,467,51,180,Green,8
467,467,468,50,176,Black,8
468,468,469,50,186,Brown,10
469,469,470,47,177,Black,13
470,470,471,30,176,Brown,18
471,471,472,22,180,Green,23
472,472,473,49,170,Green,12
473,473,474,41,173,Green,6
474,474,475,51,177,Green,23
475,475,476,52,187,Black,12
476,476,477,32,171,Black,22
477,477,478,26,181,Black,18
478,478,479,25,184,Brown,6
479,479,480,52,186,Black,23
480,480,481,32,184,Brown,23
481,481,482,41,176,Green,16
482,482,483,29,171,Brown,6
483,483,484,46,181,Black,23
484,484,485,27,166,Brown,23
485,485,486,41,171,Black,10
486,486,487,50,182,Green,8
487,487,488,52,172,Green,4
488,488,489,24,168,Brown,23
489,489,490,38,171,Green,5
490,490,491,50,172,Brown,18
491,491,492,54,177,Brown,7
492,492,493,52,174,Green,15
493,493,494,54,170,Brown,23
494,494,495,39,174,Black,6
495,495,496,29,185,Black,5
496,496,497,37,171,Green,4
497,497,498,52,174,Green,14
498,498,499,49,166,Green,23
499,499,500,42,178,Black,16
500,500,501,41,173,Black,7
501,501,502,29,181,Green,5
502,502,503,47,174,Black,12
503,503,504,44,187,Black,7
504,504,505,44,187,Green,19
505,505,506,46,183,Green,19
506,506,507,36,179,Black,8
507,507,508,50,169,Black,9
508,508,509,42,171,Brown,8
509,509,510,31,181,Green,15
510,510,511,40,170,Green,14
511,511,512,39,180,Green,5
512,512,513,54,174,Brown,4
513,513,514,36,175,Black,11
514,514,515,39,182,Brown,23
515,515,516,24,185,Green,8
516,516,517,31,167,Brown,5
517,517,518,51,165,Green,8
518,518,519,24,184,Brown,13
519,519,520,43,172,Black,12
520,520,521,33,172,Green,23
521,521,522,52,183,Black,17
522,522,523,33,165,Brown,21
523,523,524,40,172,Brown,23
524,524,525,23,177,Black,20
525,525,526,46,185,Black,23
526,526,527,37,168,Brown,14
527,527,528,40,175,Green,3
528,528,529,52,177,Black,23
529,529,530,54,174,Brown,22
530,530,531,41,185,Green,13
531,531,532,47,173,Black,5
532,532,533,22,179,Black,16
533,533,534,35,178,Green,21
534,534,535,37,178,Brown,4
535,535,536,36,185,Green,23
536,536,537,40,169,Green,12
537,537,538,44,176,Black,17
538,538,539,37,171,Green,16
539,539,540,48,166,Green,21
540,540,541,50,181,Brown,23
541,541,542,51,174,Green,23
542,542,543,26,179,Black,21
543,543,544,29,170,Green,16
544,544,545,42,184,Black,6
545,545,546,36,179,Black,3
546,546,547,30,173,Brown,17
547,547,548,18,169,Brown,20
548,548,549,34,185,Black,18
549,549,550,46,165,Black,23
550,550,551,31,178,Green,18
551,551,552,30,181,Black,21
552,552,553,48,169,Black,10
553,553,554,30,180,Black,11
554,554,555,48,182,Brown,5
555,555,556,33,167,Black,4
556,556,557,22,174,Green,23
557,557,558,32,178,Black,15
558,558,559,44,167,Black,17
559,559,560,38,183,Black,3
560,560,561,49,174,Brown,14
561,561,562,54,173,Green,10
562,562,563,19,176,Black,15
563,563,564,50,170,Green,21
564,564,565,35,183,Green,11
565,565,566,43,166,Brown,23
566,566,567,25,170,Black,22
567,567,568,31,180,Brown,5
568,568,569,28,172,Green,4
569,569,570,20,186,Brown,13
570,570,571,18,177,Black,23
571,571,572,43,166,Brown,23
572,572,573,40,185,Brown,15
573,573,574,36,165,Brown,6
574,574,575,54,165,Green,21
575,575,576,52,176,Green,11
576,576,577,25,181,Green,8
577,577,578,38,168,Green,16
578,578,579,32,175,Brown,8
579,579,580,24,185,Green,15
580,580,581,34,170,Green,6
581,581,582,54,170,Green,16
582,582,583,35,176,Black,21
583,583,584,38,174,Brown,6
584,584,585,45,167,Green,7
585,585,586,40,184,Green,5
586,586,587,29,183,Black,10
587,587,588,22,185,Brown,15
588,588,589,44,165,Green,16
589,589,590,30,173,Green,14
590,590,591,34,167,Black,13
591,591,592,39,179,Green,11
592,592,593,18,182,Green,20
593,593,594,28,185,Brown,5
594,594,595,44,176,Brown,10
595,595,596,47,173,Black,17
596,596,597,21,182,Brown,15
597,597,598,18,168,Brown,23
598,598,599,29,166,Black,8
599,599,600,41,180,Green,12
600,600,601,44,183,Green,23
601,601,602,19,177,Green,12
602,602,603,41,172,Brown,11
603,603,604,28,173,Black,20
604,604,605,36,165,Black,23
605,605,606,19,166,Black,10
606,606,607,41,165,Brown,7
607,607,608,24,170,Brown,4
608,608,609,51,169,Green,22
609,609,610,25,167,Brown,23
610,610,611,41,180,Green,3
611,611,612,28,175,Black,18
612,612,613,19,175,Green,16
613,613,614,19,187,Black,8
614,614,615,48,176,Brown,12
615,615,616,51,171,Brown,21
616,616,617,44,174,Black,4
617,617,618,31,177,Brown,9
618,618,619,42,176,Brown,12
619,619,620,36,182,Green,17
620,620,621,22,183,Black,14
621,621,622,39,180,Brown,16
622,622,623,50,171,Brown,22
623,623,624,42,179,Brown,18
624,624,625,32,168,Green,11
625,625,626,49,167,Black,11
626,626,627,21,174,Green,13
627,627,628,45,182,Brown,23
628,628,629,45,166,Brown,14
629,629,630,27,172,Brown,23
630,630,631,27,169,Brown,19
631,631,632,42,178,Green,14
632,632,633,35,167,Black,19
633,633,634,50,169,Brown,23
634,634,635,43,173,Green,6
635,635,636,37,176,Brown,20
636,636,637,50,187,Brown,20
637,637,638,24,183,Brown,20
638,638,639,28,185,Black,13
639,639,640,19,180,Black,23
640,640,641,45,173,Brown,15
641,641,642,36,178,Black,18
642,642,643,37,182,Black,18
643,643,644,50,178,Brown,13
644,644,645,19,180,Green,3
645,645,646,45,166,Brown,22
646,646,647,34,178,Brown,9
647,647,648,29,182,Brown,19
648,648,649,39,173,Black,19
649,649,650,24,167,Black,13
650,650,651,47,181,Brown,11
651,651,652,29,166,Black,11
652,652,653,36,180,Green,22
653,653,654,52,180,Green,17
654,654,655,51,172,Black,19
655,655,656,25,177,Black,3
656,656,657,30,181,Black,5
657,657,658,43,168,Brown,15
658,658,659,34,181,Black,17
659,659,660,45,167,Black,21
660,660,661,40,170,Brown,3
661,661,662,23,183,Brown,19
662,662,663,51,172,Green,21
663,663,664,54,182,Black,3
664,664,665,21,173,Black,22
665,665,666,41,175,Brown,12
666,666,667,53,165,Green,12
667,667,668,41,178,Green,9
668,668,669,20,186,Black,10
669,669,670,47,180,Black,3
670,670,671,27,170,Brown,23
671,671,672,18,180,Green,18
672,672,673,35,167,Black,5
673,673,674,24,176,Brown,17
674,674,675,34,168,Brown,23
675,675,676,45,171,Green,18
676,676,677,44,187,Green,21
677,677,678,34,182,Black,23
678,678,679,24,175,Black,8
679,679,680,32,171,Brown,22
680,680,681,52,168,Black,15
681,681,682,53,174,Green,3
682,682,683,44,181,Brown,19
683,683,684,20,178,Black,18
684,684,685,24,184,Green,8
685,685,686,24,170,Green,21
686,686,687,49,177,Brown,3
687,687,688,42,173,Green,4
688,688,689,48,173,Black,6
689,689,690,52,165,Black,20
690,690,691,47,187,Brown,15
691,691,692,30,185,Green,20
692,692,693,51,168,Brown,12
693,693,694,24,174,Black,4
694,694,695,45,178,Brown,3
695,695,696,36,182,Brown,16
696,696,697,45,182,Brown,22
697,697,698,50,185,Black,23
698,698,699,35,187,Black,3
699,699,700,53,180,Brown,3
700,700,701,42,187,Green,7
701,701,702,19,165,Black,15
702,702,703,27,172,Brown,12
703,703,704,37,165,Black,23
704,704,705,47,182,Brown,8
705,705,706,20,168,Brown,23
706,706,707,40,174,Black,16
707,707,708,18,170,Green,14
708,708,709,54,168,Brown,13
709,709,710,29,184,Green,22
710,710,711,19,179,Black,6
711,711,712,49,165,Green,17
712,712,713,18,166,Black,23
713,713,714,38,184,Green,21
714,714,715,23,174,Brown,6
715,715,716,21,185,Green,3
716,716,717,26,183,Brown,11
717,717,718,20,185,Black,3
718,718,719,29,175,Black,10
719,719,720,45,173,Black,23
720,720,721,43,186,Green,19
721,721,722,34,170,Brown,11
722,722,723,21,182,Black,23
723,723,724,54,187,Green,18
724,724,725,45,181,Black,6
725,725,726,35,166,Brown,10
726,726,727,47,172,Brown,17
727,727,728,28,177,Black,7
728,728,729,20,185,Black,23
729,729,730,30,184,Green,6
730,730,731,27,172,Green,16
731,731,732,29,173,Black,4
732,732,733,29,169,Brown,7
733,733,734,45,169,Green,5
734,734,735,27,179,Green,17
735,735,736,25,169,Brown,3
736,736,737,32,180,Brown,20
737,737,738,34,180,Green,16
738,738,739,19,174,Black,5
739,739,740,26,186,Brown,10
740,740,741,28,185,Green,19
741,741,742,19,169,Black,5
742,742,743,22,185,Brown,9
743,743,744,23,168,Brown,7
744,744,745,42,167,Brown,12
745,745,746,30,179,Brown,9
746,746,747,31,176,Black,10
747,747,748,42,186,Green,8
748,748,749,43,172,Brown,7
749,749,750,18,186,Brown,23
750,750,751,33,182,Brown,19
751,751,752,22,182,Brown,9
752,752,753,28,171,Green,4
753,753,754,30,169,Brown,5
754,754,755,35,185,Black,20
755,755,756,20,185,Black,12
756,756,757,37,181,Green,23
757,757,758,43,185,Black,19
758,758,759,44,185,Green,23
759,759,760,36,170,Green,6
760,760,761,35,185,Black,11
761,761,762,41,170,Brown,11
762,762,763,43,182,Green,23
763,763,764,21,179,Green,8
764,764,765,41,187,Black,15
765,765,766,32,168,Green,22
766,766,767,42,175,Brown,14
767,767,768,37,176,Brown,19
768,768,769,45,182,Brown,5
769,769,770,18,177,Black,23
770,770,771,28,173,Black,9
771,771,772,52,184,Black,15
772,772,773,48,168,Green,8
773,773,774,40,171,Brown,23
774,774,775,20,181,Black,15
775,775,776,52,170,Brown,8
776,776,777,32,170,Green,22
777,777,778,29,166,Black,11
778,778,779,34,183,Green,17
779,779,780,35,186,Green,19
780,780,781,23,172,Black,20
781,781,782,48,187,Black,10
782,782,783,35,175,Black,5
783,783,784,30,179,Brown,7
784,784,785,51,176,Black,23
785,785,786,31,169,Black,9
786,786,787,50,177,Brown,11
787,787,788,46,175,Black,8
788,788,789,35,183,Brown,16
789,789,790,32,171,Brown,23
790,790,791,47,169,Green,20
791,791,792,38,180,Brown,16
792,792,793,31,183,Black,23
793,793,794,49,183,Black,23
794,794,795,34,180,Brown,23
795,795,796,43,180,Brown,18
796,796,797,52,185,Black,10
797,797,798,24,170,Brown,8
798,798,799,52,173,Brown,15
799,799,800,28,179,Green,5
800,800,801,45,170,Black,6
801,801,802,39,186,Green,8
802,802,803,45,175,Black,11
803,803,804,50,183,Black,23
804,804,805,47,180,Brown,6
805,805,806,42,182,Green,15
806,806,807,51,165,Black,14
807,807,808,26,187,Black,20
808,808,809,20,176,Green,16
809,809,810,19,187,Green,16
810,810,811,32,176,Brown,19
811,811,812,48,169,Green,17
812,812,813,45,178,Green,20
813,813,814,25,180,Black,16
814,814,815,51,185,Black,7
815,815,816,26,185,Brown,16
816,816,817,29,187,Brown,23
817,817,818,48,178,Green,12
818,818,819,48,181,Brown,23
819,819,820,34,185,Green,23
820,820,821,36,166,Black,3
821,821,822,19,181,Brown,18
822,822,823,27,174,Brown,4
823,823,824,45,187,Green,13
824,824,825,34,168,Brown,22
825,825,826,43,182,Black,6
826,826,827,35,170,Black,4
827,827,828,30,187,Brown,6
828,828,829,41,168,Black,11
829,829,830,28,177,Black,19
830,830,831,41,181,Brown,22
831,831,832,18,174,Green,14
832,832,833,50,169,Black,20
833,833,834,21,177,Brown,18
834,834,835,42,179,Black,17
835,835,836,51,178,Brown,15
836,836,837,48,184,Black,4
837,837,838,27,187,Green,15
838,838,839,36,181,Brown,20
839,839,840,39,180,Black,15
840,840,841,23,175,Black,17
841,841,842,44,182,Brown,20
842,842,843,48,187,Brown,15
843,843,844,30,170,Black,15
844,844,845,34,182,Black,7
845,845,846,44,183,Green,14
846,846,847,52,173,Black,21
847,847,848,46,169,Black,17
848,848,849,37,182,Brown,19
849,849,850,43,174,Green,14
850,850,851,38,185,Green,20
851,851,852,25,175,Black,3
852,852,853,52,180,Green,10
853,853,854,54,179,Green,14
854,854,855,26,177,Black,3
855,855,856,49,179,Brown,23
856,856,857,42,172,Black,22
857,857,858,21,184,Brown,16
858,858,859,33,182,Brown,18
859,859,860,49,171,Brown,21
860,860,861,41,177,Black,7
861,861,862,50,177,Brown,20
862,862,863,34,186,Black,12
863,863,864,21,186,Green,6
864,864,865,53,171,Black,21
865,865,866,26,186,Green,4
866,866,867,37,165,Brown,18
867,867,868,33,186,Black,4
868,868,869,53,174,Green,19
869,869,870,30,186,Green,23
870,870,871,25,165,Black,19
871,871,872,27,176,Brown,6
872,872,873,52,182,Green,5
873,873,874,24,177,Brown,15
874,874,875,49,178,Green,9
875,875,876,47,180,Brown,9
876,876,877,45,172,Green,23
877,877,878,41,175,Green,19
878,878,879,33,177,Green,20
879,879,880,19,170,Green,19
880,880,881,49,172,Green,13
881,881,882,40,172,Green,9
882,882,883,48,169,Green,22
883,883,884,54,187,Black,9
884,884,885,36,174,Green,16
885,885,886,28,167,Brown,11
886,886,887,22,169,Brown,23
887,887,888,52,176,Black,22
888,888,889,34,169,Brown,20
889,889,890,29,183,Green,15
890,890,891,46,178,Brown,15
891,891,892,35,183,Black,11
892,892,893,25,168,Brown,12
893,893,894,49,181,Green,8
894,894,895,46,168,Green,6
895,895,896,18,170,Black,4
896,896,897,52,179,Green,18
897,897,898,49,180,Black,23
898,898,899,25,170,Black,14
899,899,900,23,165,Brown,7
900,900,901,41,173,Black,3
901,901,902,32,183,Black,15
902,902,903,50,179,Black,4
903,903,904,24,183,Black,4
904,904,905,42,171,Black,23
905,905,906,19,171,Green,19
906,906,907,44,176,Green,18
907,907,908,26,165,Black,11
908,908,909,23,186,Green,20
909,909,910,40,184,Green,13
