,Crime_ID,Criminal_ID
831,831,14360
832,832,19035
833,833,8746
834,834,6426
835,835,11046
837,837,1027
838,838,19609
839,839,978
840,840,7526
843,843,9210
844,844,20094
845,845,4441
846,846,19348
847,847,6855
848,848,21365
851,851,16352
852,852,14501
853,853,16839
857,857,1366
858,858,24923
859,859,24802
860,860,4207
861,861,14063
862,862,19346
863,863,21994
865,865,24705
866,866,12081
870,870,23061
871,871,11761
872,872,15650
875,875,22928
876,876,7651
877,877,18052
878,878,426
879,879,1201
881,881,4446
882,882,4635
883,883,11788
884,884,12565
885,885,14183
886,886,17322
887,887,15316
888,888,5945
889,889,6573
890,890,23801
891,891,13717
896,896,10216
897,897,15807
898,898,19368
900,900,13919
901,901,6072
902,902,19487
904,904,4330
909,909,24101
910,910,8785
911,911,10023
912,912,500
913,913,9453
914,914,21152
915,915,18463
920,920,4368
921,921,23605
922,922,13838
923,923,1951
924,924,7680
925,925,12484
926,926,7769
927,927,22873
928,928,5128
929,929,19098
930,930,10071
931,931,485
932,932,12894
933,933,8059
934,934,3090
935,935,20077
937,937,7404
939,939,6689
940,940,8005
941,941,12749
943,943,2419
944,944,17047
945,945,18910
946,946,19556
947,947,9789
948,948,2792
949,949,9011
950,950,15611
951,951,19756
952,952,6632
953,953,16379
954,954,9800
955,955,23787
956,956,23609
957,957,10172
958,958,19580
959,959,10898
960,960,1117
961,961,1707
962,962,13846
963,963,16473
964,964,20044
965,965,11708
966,966,7774
967,967,8133
968,968,421
972,972,23400
974,974,21755
975,975,6461
977,977,1004
978,978,24958
979,979,13234
981,981,5355
983,983,18463
985,985,7348
988,988,9774
991,991,11891
992,992,153
993,993,7713
995,995,3635
996,996,17483
1000,1000,16002
1002,1002,17113
1004,1004,195
1006,1006,22794
1007,1007,8530
1008,1008,10861
1009,1009,15456
1011,1011,24013
1012,1012,3477
1013,1013,8902
1014,1014,20604
1015,1015,8828
1016,1016,4455
1017,1017,4000
1018,1018,22314
1020,1020,15753
1022,1022,18380
1023,1023,1807
1025,1025,19901
1026,1026,12835
1027,1027,2279
1029,1029,20869
1030,1030,16662
1031,1031,8441
1032,1032,12298
1033,1033,20381
1035,1035,10612
1036,1036,14145
1037,1037,2321
1038,1038,22237
1039,1039,3194
1040,1040,23722
1041,1041,11804
1042,1042,14978
1046,1046,18155
1049,1049,14184
1050,1050,1706
1051,1051,2345
1052,1052,1518
1053,1053,236
1054,1054,13676
1055,1055,4773
1056,1056,7942
1057,1057,11716
1058,1058,7281
1059,1059,14599
1060,1060,3097
1061,1061,12305
1062,1062,19362
1063,1063,10785
1065,1065,2699
1066,1066,19810
1067,1067,24033
1069,1069,5724
1070,1070,1287
1071,1071,3757
1072,1072,3790
1073,1073,19689
1074,1074,9322
1075,1075,19578
1076,1076,2286
1077,1077,14917
1078,1078,18709
1080,1080,2570
1081,1081,2243
1083,1083,11637
1084,1084,547
1085,1085,2526
1086,1086,18119
1087,1087,1100
1089,1089,4774
1090,1090,6180
1091,1091,18439
1092,1092,13741
1093,1093,21601
1094,1094,12247
1095,1095,6209
1096,1096,24226
1097,1097,3434
1098,1098,846
1099,1099,13788
1100,1100,681
1101,1101,21612
1102,1102,16680
1103,1103,10475
1104,1104,173
1105,1105,5474
1106,1106,18399
1109,1109,1755
1111,1111,22769
1112,1112,13169
1115,1115,24385
1116,1116,4510
1117,1117,8857
1118,1118,16847
1119,1119,6400
1120,1120,4703
1121,1121,3254
1122,1122,21509
1123,1123,1174
1124,1124,3298
1126,1126,15376
1127,1127,19757
1128,1128,10113
1129,1129,4504
1130,1130,24194
1131,1131,1251
1132,1132,5480
1133,1133,22552
1134,1134,4128
1136,1136,7221
1137,1137,16277
1138,1138,8435
1139,1139,23232
1140,1140,20528
1141,1141,8485
1142,1142,24703
1143,1143,23048
1144,1144,3512
1145,1145,21528
1146,1146,8489
1147,1147,13561
1148,1148,13532
1149,1149,3125
1150,1150,9729
1151,1151,17050
1152,1152,8621
1153,1153,2358
1154,1154,9385
1155,1155,8467
1156,1156,13114
1157,1157,999
1158,1158,18885
1159,1159,15486
1160,1160,21390
1162,1162,3065
1163,1163,8468
1166,1166,10346
1167,1167,4676
1168,1168,12734
1172,1172,14745
1174,1174,3545
1176,1176,1225
1177,1177,10551
1178,1178,13602
1179,1179,4735
1180,1180,22028
1182,1182,14651
1187,1187,68
1196,1196,17631
1197,1197,11891
1200,1200,4692
1201,1201,16853
1203,1203,18557
1204,1204,18450
1205,1205,22536
1206,1206,4852
1207,1207,4333
1208,1208,23135
1209,1209,10643
1210,1210,21391
1213,1213,24864
1217,1217,6382
1219,1219,19746
1221,1221,14762
1222,1222,12573
1223,1223,9685
1225,1225,2283
1227,1227,9207
1228,1228,8486
1229,1229,13157
1230,1230,20589
1231,1231,15525
1232,1232,12214
1233,1233,17997
1235,1235,8970
1236,1236,14170
1237,1237,534
1239,1239,8101
1241,1241,949
1242,1242,16378
1243,1243,24146
1248,1248,1805
1249,1249,8473
1250,1250,2473
1251,1251,21507
1252,1252,10532
1254,1254,5278
1255,1255,4557
1258,1258,22765
1261,1261,9222
1262,1262,3634
1263,1263,15844
1264,1264,22558
1265,1265,22676
1266,1266,23633
1267,1267,23345
1268,1268,15708
1269,1269,15778
1270,1270,16507
1271,1271,12391
1272,1272,1191
1273,1273,18947
1274,1274,7052
1275,1275,15849
1276,1276,9609
1277,1277,15776
1278,1278,20065
1279,1279,9190
1280,1280,6885
1282,1282,23284
1283,1283,10794
1284,1284,14718
1290,1290,4318
1291,1291,13570
1292,1292,24325
1293,1293,20218
1294,1294,21428
1295,1295,11133
1296,1296,7990
1298,1298,8909
1299,1299,18054
1300,1300,11855
1301,1301,12098
1302,1302,8050
1303,1303,23564
1304,1304,18381
1305,1305,15193
1308,1308,5482
1310,1310,19192
1311,1311,21353
1312,1312,5351
1313,1313,6935
1315,1315,2115
1316,1316,9293
1317,1317,12413
1318,1318,7862
1319,1319,3780
1321,1321,6109
1323,1323,6916
1324,1324,22451
1325,1325,11346
1326,1326,24745
1330,1330,4164
1331,1331,21683
1332,1332,3410
1333,1333,22967
1334,1334,21344
1335,1335,8470
1336,1336,18737
1337,1337,16357
1338,1338,10482
1339,1339,16195
1340,1340,23586
1342,1342,15563
1344,1344,6721
1345,1345,24995
1346,1346,6551
1348,1348,19015
1353,1353,18333
1354,1354,17231
1355,1355,90
1356,1356,19945
1357,1357,6803
1358,1358,22786
1361,1361,16482
1363,1363,11937
1364,1364,23934
1365,1365,6981
1366,1366,12243
1367,1367,19191
1368,1368,6933
1369,1369,9452
1374,1374,19530
1376,1376,7906
1377,1377,14140
1378,1378,11041
1379,1379,11950
1380,1380,10933
1384,1384,58
1385,1385,12902
1387,1387,18942
1388,1388,8937
1389,1389,4934
1391,1391,22413
1392,1392,11717
1393,1393,8299
1394,1394,15883
1395,1395,640
1396,1396,6401
1397,1397,6905
1398,1398,1246
1399,1399,7081
1400,1400,14559
1402,1402,19224
1403,1403,18949
1404,1404,22986
1405,1405,4012
1406,1406,23981
1407,1407,18864
1408,1408,3926
1409,1409,6458
1411,1411,3742
1413,1413,14595
1414,1414,2454
1416,1416,19875
1417,1417,15434
1418,1418,1367
1419,1419,10579
1420,1420,14834
1421,1421,10563
1422,1422,2161
1426,1426,5995
1429,1429,4205
1430,1430,4643
1432,1432,15
1433,1433,17465
1435,1435,20822
1438,1438,23461
1439,1439,19045
1441,1441,21912
1443,1443,14073
1445,1445,14912
1446,1446,20035
1447,1447,12166
1448,1448,1648
1453,1453,19285
1454,1454,23260
1457,1457,1130
1459,1459,22000
1461,1461,16177
1462,1462,23469
1463,1463,4237
1465,1465,21835
1466,1466,911
1468,1468,11051
1469,1469,10281
1470,1470,10772
1471,1471,8037
1472,1472,444
1473,1473,22091
1475,1475,21587
1476,1476,14391
1477,1477,9413
1479,1479,10543
1480,1480,9606
1481,1481,7497
1482,1482,15875
1483,1483,1277
1484,1484,174
1485,1485,13836
1486,1486,19056
1487,1487,7886
1488,1488,24495
1489,1489,20242
1490,1490,11495
1491,1491,201
1494,1494,23907
1499,1499,5977
1500,1500,4025
1501,1501,18488
1502,1502,21825
1505,1505,1186
1506,1506,9764
1511,1511,17734
1512,1512,8460
1515,1515,9306
1516,1516,3242
1517,1517,22668
1518,1518,11492
1520,1520,3284
1522,1522,15768
1523,1523,10
1524,1524,24539
1525,1525,9186
1528,1528,8451
1529,1529,21933
1531,1531,6170
1532,1532,1091
1533,1533,10145
1534,1534,9816
1535,1535,10526
1539,1539,3394
1540,1540,23257
1542,1542,16239
1543,1543,4927
1544,1544,21111
1546,1546,12090
1551,1551,21521
1554,1554,6105
1555,1555,9663
1556,1556,15618
1557,1557,4703
1559,1559,21641
1563,1563,24942
1564,1564,21626
1565,1565,12891
1566,1566,10099
1567,1567,14016
1570,1570,15544
1571,1571,12782
1572,1572,13441
1574,1574,9441
1575,1575,23933
1576,1576,12424
1577,1577,21658
1578,1578,21581
1579,1579,14170
1580,1580,5936
1581,1581,22470
1582,1582,23002
1583,1583,20910
1584,1584,22997
1585,1585,2269
1586,1586,18427
1588,1588,21245
1590,1590,11656
1591,1591,13005
1592,1592,2591
1593,1593,9744
1594,1594,17943
1595,1595,21936
1596,1596,3797
1597,1597,21814
1598,1598,17642
1599,1599,16133
1600,1600,16272
1601,1601,15993
1602,1602,12229
1606,1606,6085
1607,1607,4679
1609,1609,12657
1610,1610,19644
1611,1611,6039
1615,1615,23058
1616,1616,8094
1618,1618,24277
1619,1619,16681
1620,1620,2181
1621,1621,22014
1622,1622,14825
1623,1623,19580
1624,1624,15820
1625,1625,4223
1626,1626,8832
1628,1628,9266
1629,1629,3730
1633,1633,10963
1634,1634,9190
1635,1635,13182
1637,1637,24937
1638,1638,18367
1639,1639,6490
1640,1640,15184
1641,1641,1796
1642,1642,15606
1644,1644,11223
1647,1647,16742
1649,1649,21600
1651,1651,10991
1652,1652,9178
1653,1653,22926
1654,1654,8499
1655,1655,19681
1656,1656,21799
1657,1657,23341
1658,1658,5354
1659,1659,6067
1660,1660,14567
1661,1661,10965
1662,1662,24324
1665,1665,8812
1666,1666,10858
1667,1667,6269
1668,1668,387
1669,1669,13814
1671,1671,19027
1673,1673,18885
1675,1675,21181
1676,1676,22261
1678,1678,3174
1679,1679,8657
1680,1680,1979
1681,1681,6268
1683,1683,6307
1685,1685,8301
1686,1686,21234
1687,1687,1333
1688,1688,19150
1689,1689,12546
1690,1690,4184
1691,1691,2691
1692,1692,2204
1693,1693,22270
1694,1694,6798
1695,1695,9220
1696,1696,20577
1697,1697,2739
1698,1698,11995
1699,1699,22325
1700,1700,6146
1701,1701,4511
1702,1702,23388
1703,1703,4833
1704,1704,1690
1705,1705,89
1706,1706,13586
1708,1708,14347
1709,1709,18169
1710,1710,1938
1711,1711,11418
1714,1714,10350
1715,1715,17282
1716,1716,17270
1717,1717,16885
1718,1718,18454
1720,1720,6106
1721,1721,20654
1722,1722,24879
1723,1723,17357
1724,1724,8593
1726,1726,23141
1728,1728,525
1729,1729,20218
1730,1730,3050
1731,1731,5083
1732,1732,17568
1736,1736,590
1737,1737,3987
1738,1738,3915
1739,1739,4689
1741,1741,10575
1742,1742,8706
1745,1745,22830
1750,1750,20762
1751,1751,8556
1752,1752,7000
1756,1756,18980
1757,1757,12197
1763,1763,6333
1766,1766,14684
1767,1767,16971
1768,1768,8512
1769,1769,4859
1770,1770,367
1772,1772,13049
1773,1773,15669
1777,1777,19856
1778,1778,23333
1779,1779,14293
1780,1780,5234
1784,1784,1083
1785,1785,10359
1786,1786,19215
1787,1787,20788
1788,1788,8132
1789,1789,3081
1790,1790,21640
1791,1791,21666
1792,1792,10315
1794,1794,14039
1795,1795,5201
1797,1797,9413
1798,1798,15193
1801,1801,7354
1802,1802,13141
1803,1803,16632
1804,1804,19244
1805,1805,3086
1806,1806,5460
1807,1807,1491
1808,1808,14595
1810,1810,9840
1811,1811,24924
1812,1812,15217
1813,1813,4913
1814,1814,5807
1815,1815,13589
1816,1816,14611
1817,1817,145
1818,1818,15016
1819,1819,8355
1820,1820,7044
1822,1822,12277
1823,1823,24289
1824,1824,14019
1825,1825,16367
1828,1828,7810
1829,1829,2887
1830,1830,5758
1831,1831,24089
1832,1832,2778
1833,1833,6880
1836,1836,12003
1839,1839,21113
1843,1843,22376
1844,1844,8726
1845,1845,12633
1846,1846,20796
1847,1847,13758
1848,1848,13628
1849,1849,24686
1850,1850,21167
1852,1852,12446
1853,1853,23908
1854,1854,7459
1855,1855,16921
1856,1856,22955
1857,1857,21532
1859,1859,12939
1860,1860,2258
1861,1861,19800
1862,1862,6986
1863,1863,2498
1864,1864,21540
1865,1865,10549
1866,1866,2977
1867,1867,16528
1868,1868,3265
1871,1871,4929
1874,1874,8740
1875,1875,18548
1876,1876,8760
1877,1877,7260
1879,1879,11280
1881,1881,2288
1883,1883,2291
1884,1884,15570
1885,1885,14225
1886,1886,4923
1888,1888,10791
1889,1889,7680
1890,1890,2721
1891,1891,21345
1892,1892,1184
1893,1893,2640
1894,1894,3225
1895,1895,22329
1896,1896,12884
1898,1898,22405
1899,1899,10701
1900,1900,5336
1902,1902,24990
1903,1903,2960
1904,1904,16941
1905,1905,24296
1906,1906,7937
1907,1907,18420
1908,1908,11549
1909,1909,6340
1910,1910,3855
1911,1911,15655
1914,1914,12441
1915,1915,13445
1916,1916,11609
1917,1917,17204
1919,1919,9828
1920,1920,3144
1921,1921,13502
1922,1922,3147
1923,1923,3232
1925,1925,6779
1926,1926,18770
1927,1927,19134
1931,1931,24610
1932,1932,13574
1933,1933,3656
1934,1934,18302
1935,1935,616
1936,1936,23867
1937,1937,1356
1938,1938,15108
1939,1939,8723
1940,1940,11467
1941,1941,19305
1943,1943,24606
1944,1944,13571
1945,1945,13540
1946,1946,9591
1949,1949,9390
1951,1951,17916
1956,1956,20890
1959,1959,16623
1960,1960,3112
1961,1961,22046
1964,1964,22374
1965,1965,401
1966,1966,20987
1967,1967,20848
1969,1969,17769
1970,1970,2224
1971,1971,14125
1974,1974,15936
1976,1976,859
1977,1977,24165
1978,1978,24437
1979,1979,13675
1980,1980,15235
1981,1981,8322
1982,1982,9216
1983,1983,2225
1984,1984,14794
1986,1986,9235
1987,1987,18009
1989,1989,15843
1992,1992,17924
1996,1996,22284
1997,1997,11798
2000,2000,1241
2001,2001,18934
2003,2003,4278
2005,2005,7065
2009,2009,12859
2010,2010,11492
2011,2011,12773
2012,2012,12926
2016,2016,2844
2017,2017,22323
2019,2019,5177
2020,2020,11184
2021,2021,14476
2022,2022,9159
2023,2023,21894
2025,2025,8705
2026,2026,10077
2027,2027,22084
2028,2028,5530
2029,2029,13513
2031,2031,6489
2032,2032,15540
2034,2034,9362
2037,2037,23923
2038,2038,27
2039,2039,8366
2040,2040,15401
2041,2041,3289
2044,2044,15976
2046,2046,8328
2047,2047,16632
2049,2049,14788
2053,2053,4194
2054,2054,6570
2055,2055,21186
2056,2056,3012
2057,2057,16797
2058,2058,19401
2059,2059,8686
2060,2060,9080
2061,2061,22418
2062,2062,10091
2063,2063,4273
2064,2064,12713
2069,2069,4292
2070,2070,11597
2071,2071,6155
2072,2072,23730
2073,2073,13839
2074,2074,488
2075,2075,7801
2076,2076,18284
2081,2081,19616
2082,2082,22346
2083,2083,10855
2085,2085,11448
2086,2086,6128
2087,2087,11932
2092,2092,18963
2094,2094,21004
2095,2095,4130
2096,2096,24782
2097,2097,23379
2099,2099,988
2100,2100,19300
2101,2101,23767
2103,2103,21670
2104,2104,17469
2105,2105,4890
2107,2107,15799
2109,2109,10773
2110,2110,15781
2111,2111,7923
2113,2113,5280
2114,2114,10737
2116,2116,100
2117,2117,3934
2118,2118,23855
2119,2119,9483
2120,2120,3053
2121,2121,1853
2122,2122,8321
2123,2123,20659
2124,2124,18679
2125,2125,15782
2127,2127,10293
2129,2129,12732
2130,2130,1984
2131,2131,3046
2132,2132,6906
2134,2134,18129
2135,2135,16700
2136,2136,22799
2137,2137,21244
2138,2138,10483
2139,2139,20904
2141,2141,17806
2142,2142,16848
2143,2143,18919
2144,2144,1576
2145,2145,1602
2146,2146,15664
2147,2147,7120
2148,2148,2353
2149,2149,6707
2150,2150,17500
2151,2151,16119
2152,2152,23981
2154,2154,23121
2155,2155,1351
2156,2156,738
2158,2158,1770
2159,2159,5124
2160,2160,18196
2163,2163,348
2167,2167,9571
2168,2168,18387
2171,2171,8390
2172,2172,14451
2173,2173,448
2175,2175,1407
2176,2176,14921
2177,2177,4036
2178,2178,13805
2179,2179,11174
2180,2180,3245
2183,2183,18859
2184,2184,8851
2185,2185,18930
2186,2186,2531
2187,2187,18665
2188,2188,4961
2189,2189,20701
2192,2192,23981
2193,2193,7931
2194,2194,23685
2195,2195,8288
2196,2196,15248
2197,2197,12326
2198,2198,11905
2199,2199,11394
2202,2202,13037
2203,2203,4543
2204,2204,19892
2206,2206,5336
2207,2207,3021
2208,2208,24442
2211,2211,4648
2212,2212,9530
2213,2213,21944
2214,2214,11239
2215,2215,2416
2217,2217,6631
2218,2218,12803
2219,2219,19586
2220,2220,11443
2222,2222,21529
2223,2223,3871
2224,2224,18005
2225,2225,3679
2226,2226,9628
2228,2228,1198
2229,2229,15807
2231,2231,17786
2233,2233,6748
2234,2234,12530
2236,2236,2746
2237,2237,11907
2238,2238,1239
2240,2240,22123
2241,2241,11870
2242,2242,24815
2243,2243,4322
2244,2244,23488
2245,2245,3254
2248,2248,21552
2249,2249,4495
2250,2250,17553
2253,2253,17558
2255,2255,1335
2259,2259,9353
2260,2260,13772
2261,2261,7118
2262,2262,11188
2263,2263,20153
2265,2265,1195
2266,2266,20547
2267,2267,22805
2268,2268,5598
2269,2269,15373
2270,2270,12103
2271,2271,13262
2273,2273,18877
2274,2274,18509
2275,2275,9863
2277,2277,18111
2278,2278,3864
2279,2279,20202
2280,2280,11378
2281,2281,10582
2282,2282,1701
2285,2285,23230
2286,2286,12883
2287,2287,4788
2288,2288,23529
2292,2292,4430
2293,2293,4604
2294,2294,922
2295,2295,24560
2296,2296,14491
2298,2298,24872
2300,2300,19819
2301,2301,10785
2302,2302,13971
2304,2304,4476
2306,2306,23479
2308,2308,24065
2309,2309,7005
2310,2310,20926
2311,2311,13919
2312,2312,24316
2313,2313,14227
2314,2314,18831
2316,2316,22555
2317,2317,9097
2320,2320,17454
2322,2322,4419
2324,2324,18833
2325,2325,13364
2326,2326,13634
2329,2329,3709
2330,2330,10493
2331,2331,20836
2332,2332,20606
2333,2333,24306
2334,2334,3818
2336,2336,3834
2338,2338,671
2340,2340,12879
2341,2341,14026
2342,2342,18560
2345,2345,21598
2346,2346,899
2348,2348,17573
2349,2349,10167
2350,2350,7841
2351,2351,11113
2353,2353,1806
2356,2356,12212
2357,2357,17302
2358,2358,2989
2360,2360,16449
2361,2361,13790
2362,2362,2807
2363,2363,24918
2364,2364,3454
2365,2365,18459
2366,2366,12024
2367,2367,18149
2368,2368,21764
2369,2369,10310
2370,2370,7104
2371,2371,15231
2373,2373,5919
2375,2375,12494
2376,2376,16948
2377,2377,18219
2378,2378,17600
2379,2379,20154
2380,2380,1907
2381,2381,6185
2382,2382,17388
2383,2383,13949
2384,2384,4415
2387,2387,11777
2389,2389,6883
2390,2390,6328
2391,2391,10763
2392,2392,24727
2393,2393,3023
2394,2394,10510
2395,2395,3697
2396,2396,8087
2397,2397,23955
2398,2398,17130
2399,2399,11831
2400,2400,24179
2401,2401,16453
2402,2402,13717
2403,2403,16631
2404,2404,1556
2405,2405,3503
2406,2406,14110
2407,2407,16062
2408,2408,7482
2409,2409,23738
2410,2410,10746
2411,2411,12527
2412,2412,9413
2413,2413,16342
2414,2414,8623
2415,2415,15892
2416,2416,12337
2417,2417,7864
2418,2418,20156
2419,2419,8074
2420,2420,7776
2421,2421,13578
2422,2422,12968
2423,2423,2934
2425,2425,10315
2426,2426,9444
2427,2427,11639
2428,2428,17195
2430,2430,20953
2431,2431,20926
2432,2432,18347
2433,2433,14865
2434,2434,12126
2435,2435,6840
2438,2438,3150
2439,2439,22857
2440,2440,7140
2441,2441,10242
2443,2443,21130
2444,2444,19397
2445,2445,19763
2446,2446,22645
2447,2447,23506
2448,2448,9907
2449,2449,3164
2450,2450,4453
2451,2451,7105
2452,2452,12696
2453,2453,22911
2454,2454,24300
2455,2455,10039
2456,2456,14358
2457,2457,7592
2458,2458,4326
2459,2459,18671
2460,2460,15174
2461,2461,4816
2462,2462,18182
2463,2463,2397
2464,2464,19521
2466,2466,1130
2467,2467,1993
2468,2468,11658
2469,2469,837
2470,2470,23729
2471,2471,228
2472,2472,3651
2473,2473,16042
2474,2474,23473
2475,2475,402
2476,2476,21733
2477,2477,17348
2478,2478,13357
2479,2479,8822
2480,2480,12471
2481,2481,22384
2482,2482,6439
2483,2483,19598
2484,2484,3182
2485,2485,3502
2486,2486,17280
2487,2487,10510
2488,2488,14214
2489,2489,9600
2490,2490,14144
